name,cluster
3583,5
3585,-1
3586,-1
3589,5
3590,-1
3595,-1
3603,1
3604,6
3605,-1
3609,-1
3612,-1
3613,-1
3614,3
3618,-1
3619,-1
3621,6
3623,-1
3627,-1
3628,-1
3629,-1
3630,-1
3631,-1
3632,7
3633,2
3634,2
3635,-1
3636,2
3637,2
3638,-1
3639,-1
3640,-1
3641,-1
3642,-1
3643,-1
3644,-1
3645,-1
3646,7
3647,7
3648,-1
3649,2
3650,2
3651,-1
3654,-1
3657,5
3658,-1
3659,5
3660,5
3661,5
3662,-1
3663,-1
3664,5
3665,-1
3666,-1
3667,-1
3668,-1
3669,2
3670,5
3672,-1
3673,-1
3674,-1
3675,-1
3676,-1
3677,4
3678,5
3679,-1
3680,-1
3681,-1
3682,-1
3683,-1
3684,-1
3685,-1
3686,-1
3687,-1
3688,-1
3689,5
3690,-1
3691,-1
3692,-1
3693,-1
3694,-1
3695,0
3696,-1
3697,-1
3698,-1
3699,5
3708,-1
3709,5
3710,5
3711,4
3712,-1
3713,2
3714,-1
3715,2
3716,-1
3717,5
3718,-1
3719,7
3724,-1
3725,-1
3726,-1
3727,5
3728,-1
3729,-1
3730,-1
3731,-1
3732,5
3733,5
3743,3
3744,3
3745,-1
3746,-1
3748,3
3749,3
3750,2
3755,3
3756,3
3757,3
3758,-1
3759,5
3760,5
3761,5
3762,-1
3763,5
3764,-1
3765,-1
3766,3
3767,-1
3768,-1
3769,-1
3770,-1
3771,-1
3772,-1
3773,-1
3774,0
3775,3
3776,-1
3777,-1
3778,3
3779,-1
3780,3
3784,-1
3785,3
3786,3
3787,-1
3788,3
3789,3
3790,3
3791,-1
3792,3
3793,-1
3794,-1
3795,3
3796,3
3797,3
3798,3
3799,-1
3800,-1
3801,-1
3802,-1
3803,2
3804,-1
3805,3
3806,3
3807,-1
3808,-1
3809,3
3810,-1
3811,-1
3812,-1
3813,-1
3814,-1
3815,3
3816,-1
3817,-1
3818,3
3835,-1
3836,1
3837,-1
3838,-1
3839,-1
3840,-1
3841,-1
3842,-1
3853,-1
3854,-1
3855,-1
3856,-1
3857,-1
3858,-1
3859,-1
3860,-1
3861,-1
